wavelength[μm],reflectance1,reflectance2,reflectance3,reflectance4,reflectance5,reflectance6,reflectance7,reflectance8,reflectance9
2.25827,0.26591,0.26482,0.26754,0.26594,0.26569,0.26673,0.26629,0.26634,0.26672
2.26488,0.26584,0.26466,0.26738,0.26581,0.26556,0.26678,0.26620,0.26615,0.26644
2.27149,0.26680,0.26593,0.26876,0.26693,0.26683,0.26789,0.26728,0.26720,0.26765
2.27810,0.26735,0.26617,0.26896,0.26745,0.26690,0.26814,0.26732,0.26733,0.26782
2.28472,0.26757,0.26657,0.26933,0.26772,0.26751,0.26851,0.26790,0.26807,0.26847
2.29133,0.26774,0.26695,0.26983,0.26790,0.26780,0.26893,0.26814,0.26831,0.26916
2.29795,0.26822,0.26730,0.26970,0.26891,0.26835,0.26893,0.26854,0.26845,0.26881
2.30456,0.26773,0.26678,0.26922,0.26780,0.26739,0.26839,0.26810,0.26804,0.26848
2.31118,0.26688,0.26575,0.26865,0.26715,0.26662,0.26771,0.26710,0.26701,0.26802
2.31779,0.26606,0.26510,0.26781,0.26633,0.26619,0.26675,0.26633,0.26650,0.26684
2.32441,0.26561,0.26497,0.26768,0.26591,0.26542,0.26629,0.26639,0.26616,0.26651
2.33102,0.26546,0.26426,0.26696,0.26556,0.26511,0.26612,0.26571,0.26563,0.26621
2.33764,0.26541,0.26460,0.26730,0.26580,0.26543,0.26616,0.26582,0.26571,0.26633
2.34426,0.26622,0.26551,0.26798,0.26645,0.26587,0.26647,0.26663,0.26642,0.26709
2.35087,0.26606,0.26562,0.26802,0.26636,0.26624,0.26698,0.26668,0.26638,0.26725
2.35749,0.26561,0.26494,0.26712,0.26578,0.26516,0.26640,0.26612,0.26588,0.26684
2.36411,0.26601,0.26530,0.26745,0.26588,0.26567,0.26646,0.26618,0.26633,0.26682
2.37072,0.26575,0.26496,0.26733,0.26572,0.26559,0.26666,0.26621,0.26614,0.26695
2.37734,0.26476,0.26411,0.26632,0.26500,0.26444,0.26542,0.26554,0.26510,0.26593
2.38396,0.26411,0.26332,0.26610,0.26434,0.26386,0.26538,0.26453,0.26448,0.26550
2.39058,0.26445,0.26349,0.26554,0.26477,0.26404,0.26516,0.26484,0.26455,0.26548
2.39720,0.26485,0.26394,0.26660,0.26497,0.26417,0.26572,0.26501,0.26486,0.26604
2.40382,0.26575,0.26463,0.26688,0.26584,0.26528,0.26641,0.26602,0.26579,0.26659
2.41044,0.26627,0.26527,0.26746,0.26631,0.26584,0.26723,0.26667,0.26693,0.26752
2.41706,0.26702,0.26671,0.26841,0.26688,0.26673,0.26736,0.26741,0.26744,0.26769
2.42368,0.26638,0.26564,0.26831,0.26624,0.26607,0.26753,0.26645,0.26665,0.26733
2.43030,0.26611,0.26523,0.26786,0.26637,0.26591,0.26718,0.26653,0.26659,0.26706
2.43692,0.26666,0.26572,0.26849,0.26694,0.26623,0.26749,0.26735,0.26699,0.26754
2.44354,0.26697,0.26644,0.26884,0.26706,0.26670,0.26789,0.26715,0.26731,0.26788
2.45017,0.26715,0.26599,0.26852,0.26731,0.26686,0.26788,0.26716,0.26730,0.26796
2.45679,0.26640,0.26536,0.26790,0.26674,0.26601,0.26724,0.26711,0.26677,0.26737
2.46341,0.26634,0.26525,0.26810,0.26654,0.26611,0.26759,0.26613,0.26662,0.26758
2.47003,0.26591,0.26486,0.26747,0.26625,0.26542,0.26677,0.26603,0.26586,0.26670
2.47666,0.26419,0.26347,0.26608,0.26418,0.26398,0.26495,0.26409,0.26438,0.26462
2.48328,0.26236,0.26144,0.26406,0.26256,0.26209,0.26345,0.26315,0.26307,0.26304
2.48990,0.26227,0.26164,0.26450,0.26237,0.26202,0.26352,0.26264,0.26286,0.26320
2.49653,0.26315,0.26241,0.26488,0.26320,0.26275,0.26378,0.26318,0.26347,0.26381
2.50312,0.26267,0.26161,0.26364,0.26260,0.26234,0.26364,0.26308,0.26305,0.26316
2.50972,0.26204,0.26116,0.26355,0.26224,0.26155,0.26285,0.26219,0.26229,0.26231
2.51632,0.26107,0.26054,0.26256,0.26156,0.26102,0.26230,0.26146,0.26174,0.26204
2.52292,0.26024,0.25922,0.26164,0.26039,0.25963,0.26082,0.26083,0.26080,0.26089
2.52951,0.25913,0.25842,0.26154,0.25987,0.25933,0.26050,0.25951,0.25952,0.26013
2.53611,0.25845,0.25773,0.25982,0.25890,0.25836,0.25909,0.25850,0.25880,0.25908
2.54271,0.25595,0.25562,0.25854,0.25717,0.25671,0.25797,0.25719,0.25731,0.25775
2.54931,0.25572,0.25548,0.25764,0.25686,0.25663,0.25693,0.25699,0.25726,0.25699
2.55591,0.25412,0.25351,0.25596,0.25421,0.25406,0.25482,0.25408,0.25442,0.25505
2.56251,0.25142,0.25109,0.25307,0.25188,0.25191,0.25235,0.25200,0.25230,0.25279
2.56911,0.24953,0.24916,0.25147,0.24976,0.24964,0.25023,0.25042,0.25028,0.25067
2.57571,0.24835,0.24788,0.25005,0.24835,0.24832,0.24871,0.24857,0.24855,0.24911
2.58231,0.24518,0.24486,0.24720,0.24483,0.24535,0.24586,0.24559,0.24592,0.24603
2.58891,0.24173,0.24139,0.24390,0.24239,0.24243,0.24288,0.24366,0.24356,0.24353
2.59551,0.24047,0.23976,0.24175,0.24049,0.24023,0.24045,0.24068,0.24058,0.24093
2.60212,0.23931,0.23892,0.24160,0.23967,0.23968,0.24037,0.24028,0.24023,0.24065
2.60872,0.23940,0.23930,0.24213,0.23967,0.23986,0.24125,0.24049,0.24046,0.24142
2.61532,0.24057,0.24041,0.24268,0.24072,0.24045,0.24093,0.24078,0.24057,0.24111
2.62192,0.24114,0.24053,0.24343,0.24174,0.24132,0.24217,0.24177,0.24193,0.24230
2.62853,0.24156,0.24131,0.24369,0.24201,0.24200,0.24266,0.24190,0.24213,0.24222
2.63513,0.24275,0.24215,0.24433,0.24286,0.24221,0.24283,0.24323,0.24296,0.24349
2.64174,0.23987,0.23973,0.24205,0.23994,0.23997,0.24096,0.24110,0.24129,0.24130
2.64834,0.23122,0.23076,0.23232,0.23130,0.23088,0.23151,0.23134,0.23120,0.23190
2.65495,0.20425,0.20335,0.20462,0.20426,0.20322,0.20391,0.20450,0.20433,0.20446
2.66155,0.14529,0.14451,0.14455,0.14560,0.14450,0.14404,0.14561,0.14487,0.14441
2.66816,0.07059,0.07010,0.07011,0.07077,0.06996,0.06986,0.07062,0.07016,0.06974
2.67476,0.02783,0.02761,0.02749,0.02786,0.02736,0.02751,0.02757,0.02721,0.02731
2.68137,0.01727,0.01715,0.01751,0.01736,0.01730,0.01744,0.01734,0.01752,0.01733
2.68798,0.01857,0.01840,0.01866,0.01879,0.01851,0.01851,0.01864,0.01870,0.01850
2.69458,0.06032,0.05977,0.06151,0.06116,0.06043,0.06048,0.06003,0.06031,0.06027
2.70119,0.27666,0.27164,0.28115,0.27956,0.27443,0.27404,0.27196,0.27520,0.27258
2.76068,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.76729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.77390,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.78052,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.78713,NaN,0.00443,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.79374,0.00716,0.00753,0.00809,0.00745,0.00772,0.00795,0.00711,0.00765,0.00777
2.80035,0.01115,0.01130,0.01200,0.01129,0.01146,0.01175,0.01077,0.01133,0.01146
2.80697,0.01535,0.01491,0.01601,0.01578,0.01570,0.01577,0.01524,0.01596,0.01528
2.81358,0.01985,0.01927,0.02019,0.02018,0.01968,0.01939,0.01935,0.01966,0.01905
2.82020,0.02421,0.02351,0.02411,0.02429,0.02370,0.02321,0.02344,0.02380,0.02324
2.82681,0.02787,0.02720,0.02772,0.02781,0.02723,0.02680,0.02710,0.02739,0.02698
2.83343,0.03044,0.02971,0.03058,0.03068,0.03000,0.02997,0.02993,0.03016,0.03001
2.84004,0.03241,0.03163,0.03264,0.03254,0.03218,0.03222,0.03210,0.03234,0.03218
2.84666,0.03463,0.03365,0.03448,0.03489,0.03422,0.03412,0.03450,0.03429,0.03447
2.85328,0.03758,0.03637,0.03687,0.03763,0.03673,0.03623,0.03749,0.03663,0.03665
2.85989,0.04077,0.03926,0.03954,0.04063,0.03943,0.03886,0.04059,0.03921,0.03928
