wavelength[μm],reflectance1,reflectance2,reflectance3,reflectance4,reflectance5,reflectance6,reflectance7,reflectance8,reflectance9
2.88636,0.05639,0.05601,0.05642,0.05641,0.05619,0.05632,0.05546,0.05690,0.05634
2.89298,0.05728,0.05683,0.05714,0.05728,0.05697,0.05703,0.05642,0.05767,0.05747
2.89960,0.05745,0.05707,0.05741,0.05766,0.05706,0.05721,0.05656,0.05767,0.05781
2.90622,0.05724,0.05675,0.05720,0.05751,0.05666,0.05716,0.05627,0.05711,0.05759
2.91284,0.05712,0.05677,0.05674,0.05754,0.05643,0.05707,0.05587,0.05657,0.05733
2.91946,0.05706,0.05656,0.05612,0.05756,0.05615,0.05667,0.05577,0.05626,0.05722
2.92608,0.05704,0.05632,0.05584,0.05765,0.05592,0.05653,0.05571,0.05604,0.05711
2.93270,0.05744,0.05636,0.05606,0.05779,0.05613,0.05680,0.05592,0.05612,0.05705
2.93932,0.05746,0.05681,0.05687,0.05806,0.05692,0.05750,0.05666,0.05671,0.05774
2.94595,0.05808,0.05787,0.05812,0.05879,0.05775,0.05865,0.05757,0.05781,0.05856
2.95257,0.05880,0.05899,0.05946,0.05973,0.05863,0.05976,0.05827,0.05886,0.05981
2.95919,0.05949,0.06014,0.06076,0.06035,0.05951,0.06096,0.05858,0.05988,0.06112
2.96581,0.06031,0.06115,0.06185,0.06078,0.06046,0.06197,0.05897,0.06089,0.06230
2.97244,0.06113,0.06168,0.06251,0.06145,0.06110,0.06245,0.05962,0.06166,0.06288
2.97906,0.06201,0.06244,0.06336,0.06255,0.06185,0.06317,0.06079,0.06259,0.06356
2.98568,0.06306,0.06347,0.06451,0.06385,0.06272,0.06391,0.06193,0.06369,0.06465
2.99231,0.06424,0.06498,0.06574,0.06538,0.06396,0.06498,0.06307,0.06499,0.06597
2.99893,0.06542,0.06659,0.06693,0.06688,0.06530,0.06617,0.06416,0.06645,0.06715
3.00556,0.06642,0.06768,0.06806,0.06796,0.06660,0.06707,0.06534,0.06748,0.06824
3.01218,0.06749,0.06886,0.06924,0.06852,0.06796,0.06831,0.06649,0.06855,0.06947
3.01881,0.06872,0.07034,0.07076,0.06911,0.06925,0.06972,0.06770,0.06966,0.07085
